X, Y
0.0, 0.0
7.071067811865476e-4, 7.071067811865476e-4
1.4142135623730952e-3, 1.4142135623730952e-3
2.121320343559643e-3, 2.121320343559643e-3
2.8284271247461905e-3, 2.8284271247461905e-3
3.535533905932738e-3, 3.535533905932738e-3
4.242640687119286e-3, 4.242640687119286e-3
4.949747468305833e-3, 4.949747468305833e-3
5.656854249492381e-3, 5.656854249492381e-3
6.363961030678928e-3, 6.363961030678928e-3
7.071067811865476e-3, 7.071067811865476e-3
7.778174593052023e-3, 7.778174593052023e-3
8.485281374238571e-3, 8.485281374238571e-3
9.192388155425118e-3, 9.192388155425118e-3
9.899494936611667e-3, 9.899494936611667e-3
1.0606601717798213e-2, 1.0606601717798213e-2
1.1313708498984762e-2, 1.1313708498984762e-2
1.202081528017131e-2, 1.202081528017131e-2
1.2727922061357855e-2, 1.2727922061357855e-2
1.3435028842544404e-2, 1.3435028842544404e-2
1.4142135623730952e-2, 1.4142135623730952e-2
1.48492424049175e-2, 1.48492424049175e-2
1.5556349186104046e-2, 1.5556349186104046e-2
1.6263455967290594e-2, 1.6263455967290594e-2
1.6970562748477143e-2, 1.6970562748477143e-2
1.767766952966369e-2, 1.767766952966369e-2
1.8384776310850236e-2, 1.8384776310850236e-2
1.9091883092036785e-2, 1.9091883092036785e-2
1.9798989873223333e-2, 1.9798989873223333e-2
2.0506096654409882e-2, 2.0506096654409882e-2
2.1213203435596427e-2, 2.1213203435596427e-2
2.1920310216782975e-2, 2.1920310216782975e-2
2.2627416997969524e-2, 2.2627416997969524e-2
2.3334523779156072e-2, 2.3334523779156072e-2
2.404163056034262e-2, 2.404163056034262e-2
2.4748737341529166e-2, 2.4748737341529166e-2
2.545584412271571e-2, 2.545584412271571e-2
2.616295090390226e-2, 2.616295090390226e-2
2.6870057685088808e-2, 2.6870057685088808e-2
2.7577164466275356e-2, 2.7577164466275356e-2
2.8284271247461905e-2, 2.8284271247461905e-2
2.8991378028648453e-2, 2.8991378028648453e-2
2.9698484809835e-2, 2.9698484809835e-2
3.0405591591021543e-2, 3.0405591591021543e-2
3.1112698372208092e-2, 3.1112698372208092e-2
3.181980515339464e-2, 3.181980515339464e-2
3.252691193458119e-2, 3.252691193458119e-2
3.3234018715767734e-2, 3.3234018715767734e-2
3.3941125496954286e-2, 3.3941125496954286e-2
3.464823227814083e-2, 3.464823227814083e-2
3.535533905932738e-2, 3.535533905932738e-2
3.606244584051392e-2, 3.606244584051392e-2
3.676955262170047e-2, 3.676955262170047e-2
3.747665940288702e-2, 3.747665940288702e-2
3.818376618407357e-2, 3.818376618407357e-2
3.8890872965260115e-2, 3.8890872965260115e-2
3.959797974644667e-2, 3.959797974644667e-2
4.030508652763321e-2, 4.030508652763321e-2
4.1012193308819764e-2, 4.1012193308819764e-2
4.17193000900063e-2, 4.17193000900063e-2
4.2426406871192854e-2, 4.2426406871192854e-2
4.31335136523794e-2, 4.31335136523794e-2
4.384062043356595e-2, 4.384062043356595e-2
4.4547727214752496e-2, 4.4547727214752496e-2
4.525483399593905e-2, 4.525483399593905e-2
4.596194077712559e-2, 4.596194077712559e-2
4.6669047558312145e-2, 4.6669047558312145e-2
4.737615433949869e-2, 4.737615433949869e-2
4.808326112068524e-2, 4.808326112068524e-2
4.879036790187179e-2, 4.879036790187179e-2
4.949747468305833e-2, 4.949747468305833e-2
5.020458146424487e-2, 5.020458146424487e-2
5.091168824543142e-2, 5.091168824543142e-2
5.161879502661797e-2, 5.161879502661797e-2
5.232590180780452e-2, 5.232590180780452e-2
5.3033008588991064e-2, 5.3033008588991064e-2
5.3740115370177616e-2, 5.3740115370177616e-2
5.444722215136416e-2, 5.444722215136416e-2
5.515432893255071e-2, 5.515432893255071e-2
5.586143571373726e-2, 5.586143571373726e-2
5.656854249492381e-2, 5.656854249492381e-2
5.7275649276110355e-2, 5.7275649276110355e-2
5.798275605729691e-2, 5.798275605729691e-2
5.868986283848345e-2, 5.868986283848345e-2
5.939696961967e-2, 5.939696961967e-2
6.010407640085655e-2, 6.010407640085655e-2
6.081118318204309e-2, 6.081118318204309e-2
6.151828996322963e-2, 6.151828996322963e-2
6.2225396744416184e-2, 6.2225396744416184e-2
6.293250352560273e-2, 6.293250352560273e-2
6.363961030678927e-2, 6.363961030678927e-2
6.434671708797583e-2, 6.434671708797583e-2
6.505382386916238e-2, 6.505382386916238e-2
6.576093065034892e-2, 6.576093065034892e-2
6.646803743153547e-2, 6.646803743153547e-2
6.717514421272203e-2, 6.717514421272203e-2
6.788225099390857e-2, 6.788225099390857e-2
6.858935777509512e-2, 6.858935777509512e-2
6.929646455628166e-2, 6.929646455628166e-2
7.00035713374682e-2, 7.00035713374682e-2
7.071067811865477e-2, 7.071067811865477e-2
7.141778489984131e-2, 7.141778489984131e-2
7.212489168102784e-2, 7.212489168102784e-2
7.28319984622144e-2, 7.28319984622144e-2
7.353910524340095e-2, 7.353910524340095e-2
7.424621202458749e-2, 7.424621202458749e-2
7.495331880577404e-2, 7.495331880577404e-2
7.56604255869606e-2, 7.56604255869606e-2
7.636753236814714e-2, 7.636753236814714e-2
7.707463914933368e-2, 7.707463914933368e-2
7.778174593052023e-2, 7.778174593052023e-2
7.848885271170677e-2, 7.848885271170677e-2
7.919595949289333e-2, 7.919595949289333e-2
7.990306627407988e-2, 7.990306627407988e-2
8.061017305526642e-2, 8.061017305526642e-2
8.131727983645297e-2, 8.131727983645297e-2
8.202438661763953e-2, 8.202438661763953e-2
8.273149339882607e-2, 8.273149339882607e-2
8.34386001800126e-2, 8.34386001800126e-2
8.414570696119916e-2, 8.414570696119916e-2
8.485281374238571e-2, 8.485281374238571e-2
8.555992052357225e-2, 8.555992052357225e-2
8.62670273047588e-2, 8.62670273047588e-2
8.697413408594536e-2, 8.697413408594536e-2
8.76812408671319e-2, 8.76812408671319e-2
8.838834764831845e-2, 8.838834764831845e-2
8.909545442950499e-2, 8.909545442950499e-2
8.980256121069154e-2, 8.980256121069154e-2
9.05096679918781e-2, 9.05096679918781e-2
9.121677477306464e-2, 9.121677477306464e-2
9.192388155425119e-2, 9.192388155425119e-2
9.263098833543773e-2, 9.263098833543773e-2
9.333809511662429e-2, 9.333809511662429e-2
9.404520189781083e-2, 9.404520189781083e-2
9.475230867899738e-2, 9.475230867899738e-2
9.545941546018392e-2, 9.545941546018392e-2
9.616652224137048e-2, 9.616652224137048e-2
9.687362902255703e-2, 9.687362902255703e-2
9.758073580374357e-2, 9.758073580374357e-2
9.828784258493012e-2, 9.828784258493012e-2
9.899494936611666e-2, 9.899494936611666e-2
9.97020561473032e-2, 9.97020561473032e-2
0.10040916292848974, 0.10040916292848974
0.1011162697096763, 0.1011162697096763
0.10182337649086284, 0.10182337649086284
0.10253048327204939, 0.10253048327204939
0.10323759005323593, 0.10323759005323593
0.10394469683442249, 0.10394469683442249
0.10465180361560904, 0.10465180361560904
0.10535891039679558, 0.10535891039679558
0.10606601717798213, 0.10606601717798213
0.10677312395916869, 0.10677312395916869
0.10748023074035523, 0.10748023074035523
0.10818733752154178, 0.10818733752154178
0.10889444430272832, 0.10889444430272832
0.10960155108391487, 0.10960155108391487
0.11030865786510143, 0.11030865786510143
0.11101576464628797, 0.11101576464628797
0.11172287142747452, 0.11172287142747452
0.11242997820866106, 0.11242997820866106
0.11313708498984762, 0.11313708498984762
0.11384419177103416, 0.11384419177103416
0.11455129855222071, 0.11455129855222071
0.11525840533340725, 0.11525840533340725
0.11596551211459381, 0.11596551211459381
0.11667261889578036, 0.11667261889578036
0.1173797256769669, 0.1173797256769669
0.11808683245815345, 0.11808683245815345
0.11879393923934, 0.11879393923934
0.11950104602052655, 0.11950104602052655
0.1202081528017131, 0.1202081528017131
0.12091525958289964, 0.12091525958289964
0.12162236636408617, 0.12162236636408617
0.12232947314527272, 0.12232947314527272
0.12303657992645926, 0.12303657992645926
0.12374368670764582, 0.12374368670764582
0.12445079348883237, 0.12445079348883237
0.1251579002700189, 0.1251579002700189
0.12586500705120546, 0.12586500705120546
0.126572113832392, 0.126572113832392
0.12727922061357855, 0.12727922061357855
0.12798632739476512, 0.12798632739476512
0.12869343417595167, 0.12869343417595167
0.1294005409571382, 0.1294005409571382
0.13010764773832476, 0.13010764773832476
0.1308147545195113, 0.1308147545195113
0.13152186130069785, 0.13152186130069785
0.1322289680818844, 0.1322289680818844
0.13293607486307094, 0.13293607486307094
0.13364318164425748, 0.13364318164425748
0.13435028842544405, 0.13435028842544405
0.1350573952066306, 0.1350573952066306
0.13576450198781714, 0.13576450198781714
0.1364716087690037, 0.1364716087690037
0.13717871555019023, 0.13717871555019023
0.13788582233137678, 0.13788582233137678
0.13859292911256332, 0.13859292911256332
0.13930003589374987, 0.13930003589374987
0.1400071426749364, 0.1400071426749364
0.140714249456123, 0.140714249456123
0.14142135623730953, 0.14142135623730953
0.14212846301849608, 0.14212846301849608
0.14283556979968262, 0.14283556979968262
0.14354267658086917, 0.14354267658086917
0.14424978336205568, 0.14424978336205568
0.14495689014324226, 0.14495689014324226
0.1456639969244288, 0.1456639969244288
0.14637110370561535, 0.14637110370561535
0.1470782104868019, 0.1470782104868019
0.14778531726798844, 0.14778531726798844
0.14849242404917498, 0.14849242404917498
0.14919953083036153, 0.14919953083036153
0.14990663761154807, 0.14990663761154807
0.15061374439273462, 0.15061374439273462
0.1513208511739212, 0.1513208511739212
0.15202795795510773, 0.15202795795510773
0.15273506473629428, 0.15273506473629428
0.15344217151748082, 0.15344217151748082
0.15414927829866737, 0.15414927829866737
0.15485638507985391, 0.15485638507985391
0.15556349186104046, 0.15556349186104046
0.156270598642227, 0.156270598642227
0.15697770542341355, 0.15697770542341355
0.15768481220460012, 0.15768481220460012
0.15839191898578667, 0.15839191898578667
0.1590990257669732, 0.1590990257669732
0.15980613254815976, 0.15980613254815976
0.1605132393293463, 0.1605132393293463
0.16122034611053285, 0.16122034611053285
0.1619274528917194, 0.1619274528917194
0.16263455967290594, 0.16263455967290594
0.1633416664540925, 0.1633416664540925
0.16404877323527906, 0.16404877323527906
0.1647558800164656, 0.1647558800164656
0.16546298679765215, 0.16546298679765215
0.16617009357883866, 0.16617009357883866
0.1668772003600252, 0.1668772003600252
0.16758430714121178, 0.16758430714121178
0.16829141392239833, 0.16829141392239833
0.16899852070358487, 0.16899852070358487
0.16970562748477142, 0.16970562748477142
0.17041273426595796, 0.17041273426595796
0.1711198410471445, 0.1711198410471445
0.17182694782833105, 0.17182694782833105
0.1725340546095176, 0.1725340546095176
0.17324116139070414, 0.17324116139070414
0.1739482681718907, 0.1739482681718907
0.17465537495307726, 0.17465537495307726
0.1753624817342638, 0.1753624817342638
0.17606958851545035, 0.17606958851545035
0.1767766952966369, 0.1767766952966369
0.17748380207782344, 0.17748380207782344
0.17819090885900998, 0.17819090885900998
0.17889801564019653, 0.17889801564019653
0.17960512242138307, 0.17960512242138307
0.18031222920256965, 0.18031222920256965
0.1810193359837562, 0.1810193359837562
0.18172644276494274, 0.18172644276494274
0.18243354954612928, 0.18243354954612928
0.18314065632731583, 0.18314065632731583
0.18384776310850237, 0.18384776310850237
0.18455486988968892, 0.18455486988968892
0.18526197667087546, 0.18526197667087546
0.185969083452062, 0.185969083452062
0.18667619023324858, 0.18667619023324858
0.18738329701443512, 0.18738329701443512
0.18809040379562167, 0.18809040379562167
0.18879751057680821, 0.18879751057680821
0.18950461735799476, 0.18950461735799476
0.1902117241391813, 0.1902117241391813
0.19091883092036785, 0.19091883092036785
0.1916259377015544, 0.1916259377015544
0.19233304448274097, 0.19233304448274097
0.1930401512639275, 0.1930401512639275
0.19374725804511406, 0.19374725804511406
0.1944543648263006, 0.1944543648263006
0.19516147160748715, 0.19516147160748715
0.1958685783886737, 0.1958685783886737
0.19657568516986024, 0.19657568516986024
0.19728279195104678, 0.19728279195104678
0.19798989873223333, 0.19798989873223333
0.1986970055134199, 0.1986970055134199
0.1994041122946064, 0.1994041122946064
0.20011121907579293, 0.20011121907579293
0.20081832585697948, 0.20081832585697948
0.20152543263816605, 0.20152543263816605
0.2022325394193526, 0.2022325394193526
0.20293964620053914, 0.20293964620053914
0.2036467529817257, 0.2036467529817257
0.20435385976291223, 0.20435385976291223
0.20506096654409878, 0.20506096654409878
0.20576807332528532, 0.20576807332528532
0.20647518010647187, 0.20647518010647187
0.20718228688765844, 0.20718228688765844
0.20788939366884499, 0.20788939366884499
0.20859650045003153, 0.20859650045003153
0.20930360723121808, 0.20930360723121808
0.21001071401240462, 0.21001071401240462
0.21071782079359117, 0.21071782079359117
0.2114249275747777, 0.2114249275747777
0.21213203435596426, 0.21213203435596426
0.2128391411371508, 0.2128391411371508
0.21354624791833737, 0.21354624791833737
0.21425335469952392, 0.21425335469952392
0.21496046148071046, 0.21496046148071046
0.215667568261897, 0.215667568261897
0.21637467504308355, 0.21637467504308355
0.2170817818242701, 0.2170817818242701
0.21778888860545664, 0.21778888860545664
0.2184959953866432, 0.2184959953866432
0.21920310216782973, 0.21920310216782973
0.2199102089490163, 0.2199102089490163
0.22061731573020285, 0.22061731573020285
0.2213244225113894, 0.2213244225113894
0.22203152929257594, 0.22203152929257594
0.22273863607376249, 0.22273863607376249
0.22344574285494903, 0.22344574285494903
0.22415284963613558, 0.22415284963613558
0.22485995641732212, 0.22485995641732212
0.22556706319850867, 0.22556706319850867
0.22627416997969524, 0.22627416997969524
0.22698127676088178, 0.22698127676088178
0.22768838354206833, 0.22768838354206833
0.22839549032325487, 0.22839549032325487
0.22910259710444142, 0.22910259710444142
0.22980970388562796, 0.22980970388562796
0.2305168106668145, 0.2305168106668145
0.23122391744800105, 0.23122391744800105
0.23193102422918763, 0.23193102422918763
0.23263813101037417, 0.23263813101037417
0.23334523779156072, 0.23334523779156072
0.23405234457274726, 0.23405234457274726
0.2347594513539338, 0.2347594513539338
0.23546655813512035, 0.23546655813512035
0.2361736649163069, 0.2361736649163069
0.23688077169749344, 0.23688077169749344
0.23758787847868, 0.23758787847868
0.23829498525986656, 0.23829498525986656
0.2390020920410531, 0.2390020920410531
0.23970919882223965, 0.23970919882223965
0.2404163056034262, 0.2404163056034262
0.24112341238461274, 0.24112341238461274
0.24183051916579928, 0.24183051916579928
0.24253762594698583, 0.24253762594698583
0.24324473272817235, 0.24324473272817235
0.2439518395093589, 0.2439518395093589
0.24465894629054544, 0.24465894629054544
0.24536605307173198, 0.24536605307173198
0.24607315985291853, 0.24607315985291853
0.2467802666341051, 0.2467802666341051
0.24748737341529164, 0.24748737341529164
0.2481944801964782, 0.2481944801964782
0.24890158697766473, 0.24890158697766473
0.24960869375885128, 0.24960869375885128
0.2503158005400378, 0.2503158005400378
0.2510229073212244, 0.2510229073212244
0.2517300141024109, 0.2517300141024109
0.2524371208835975, 0.2524371208835975
0.253144227664784, 0.253144227664784
0.2538513344459706, 0.2538513344459706
0.2545584412271571, 0.2545584412271571
0.25526554800834367, 0.25526554800834367
0.25597265478953024, 0.25597265478953024
0.25667976157071676, 0.25667976157071676
0.25738686835190333, 0.25738686835190333
0.25809397513308985, 0.25809397513308985
0.2588010819142764, 0.2588010819142764
0.25950818869546294, 0.25950818869546294
0.2602152954766495, 0.2602152954766495
0.26092240225783603, 0.26092240225783603
0.2616295090390226, 0.2616295090390226
0.2623366158202092, 0.2623366158202092
0.2630437226013957, 0.2630437226013957
0.26375082938258226, 0.26375082938258226
0.2644579361637688, 0.2644579361637688
0.26516504294495535, 0.26516504294495535
0.26587214972614187, 0.26587214972614187
0.26657925650732844, 0.26657925650732844
0.26728636328851496, 0.26728636328851496
0.26799347006970153, 0.26799347006970153
0.2687005768508881, 0.2687005768508881
0.2694076836320746, 0.2694076836320746
0.2701147904132612, 0.2701147904132612
0.2708218971944477, 0.2708218971944477
